# [N2O5],[N2O5] error,time,time error
1.399999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.206534543238908297e+00,0.000000000000000000e+00,4.400000000000000000e+03,0.000000000000000000e+00
1.039804002877658062e+00,0.000000000000000000e+00,8.800000000000000000e+03,0.000000000000000000e+00
8.961138911928454576e-01,0.000000000000000000e+00,1.320000000000000000e+04,0.000000000000000000e+00
7.722802602860004972e-01,0.000000000000000000e+00,1.760000000000000000e+04,0.000000000000000000e+00
6.655591507832820941e-01,0.000000000000000000e+00,2.200000000000000000e+04,0.000000000000000000e+00
5.735857899919878378e-01,0.000000000000000000e+00,2.640000000000000000e+04,0.000000000000000000e+00
4.943221922402225021e-01,0.000000000000000000e+00,3.080000000000000000e+04,0.000000000000000000e+00
4.260120003052946802e-01,0.000000000000000000e+00,3.520000000000000000e+04,0.000000000000000000e+00
3.671415672876017777e-01,0.000000000000000000e+00,3.960000000000000000e+04,0.000000000000000000e+00
